utente/$/$/hotel,brec,drec,urec
Russ (kent)/$/$/Hotel Russo Palace,0.0,1.0,0.0
A Traveler/$/$/Hotel Russo Palace,0.67,0.32,0.01
A Traveler/$/$/Hawthorn Suites By Wyndham Livermore Wine Country,0.61,0.39,0.0
A Traveler/$/$/Fairfield Inn By Marriott Binghamton,0.5,0.5,0.0
A Traveler/$/$/Days Inn El Reno Ok,0.1,0.88,0.02
A Traveler/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.65,0.33,0.02
A Traveler/$/$/The Houstonian Hotel,0.6,0.4,0.0
A Traveler/$/$/Best Western Plus Waterville Grand Hotel,0.61,0.39,0.0
A Traveler/$/$/Howard Johnson Inn Columbia,0.36,0.64,0.0
A Traveler/$/$/Super 8 Columbia Dwntwn Sc,0.25,0.74,0.01
A Traveler/$/$/Azul Beach Hotel By Karisma Gourmet Inclusive,0.6,0.39,0.01
A Traveler/$/$/Days Inn Branson / Near The Strip,0.51,0.49,0.0
A Traveler/$/$/Comfort Suites Southport,0.58,0.42,0.0
A Traveler/$/$/Ambassadors Inn and Suites,0.28,0.72,0.0
A Traveler/$/$/Tryp Dusseldorf Krefeld Hotel,0.63,0.37,0.0
A Traveler/$/$/Gran Melia Victoria,0.58,0.42,0.0
A Traveler/$/$/Economy Inn,0.25,0.74,0.01
A Traveler/$/$/Country Inn Walker,0.69,0.3,0.01
A Traveler/$/$/Hotel De La Ville,0.56,0.44,0.0
A Traveler/$/$/Econo Lodge St Robert,0.33,0.66,0.01
A Traveler/$/$/Super 8 Ithaca,0.33,0.67,0.0
A Traveler/$/$/Big Mountain Lodge,0.56,0.43,0.01
A Traveler/$/$/Doubletree By Hilton Hotel Bay City - Riverfront,0.75,0.25,0.0
A Traveler/$/$/Doubletree By Hilton West Palm Beach Airport,0.72,0.28,0.0
A Traveler/$/$/Extended Stay America - Chicago - Westmont - Oak Brook,0.23,0.77,0.0
A Traveler/$/$/Days Inn Brookings,0.36,0.64,0.0
A Traveler/$/$/Durango Travelodge,0.3,0.7,0.0
A Traveler/$/$/Best Western Plus Arlington North Hotel and Suites,0.58,0.42,0.0
A Traveler/$/$/La Quinta Inn and Suites Tucson - Reid Park,0.44,0.56,0.0
A Traveler/$/$/Country Inn and Suites By Carlson Corbin,0.58,0.42,0.0
A Traveler/$/$/Quality Inn Spearfish,0.56,0.43,0.01
A Traveler/$/$/Inn At Queen Anne,0.26,0.74,0.0
A Traveler/$/$/Residence Inn By Marriott Irvine John Wayne Airport,0.68,0.32,0.0
A Traveler/$/$/Comfort Inn and Suites O'fallon,0.43,0.56,0.01
A Traveler/$/$/Holiday Inn Canyon De Chelly,0.54,0.46,0.0
A Traveler/$/$/Haltom Inn,0.16,0.81,0.03
A Traveler/$/$/La Quinta Inn and Suites Sunrise,0.65,0.35,0.0
A Traveler/$/$/Knights Inn Aiken,0.28,0.71,0.01
A Traveler/$/$/Ramada,0.49,0.51,0.0
A Traveler/$/$/Super 8 Pittsburgh/monroeville,0.31,0.69,0.0
A Traveler/$/$/Holiday Inn Express and Suites Canyonville,0.48,0.52,0.0
A Traveler/$/$/Solstice,0.23,0.77,0.0
A Traveler/$/$/The Grove Seaside Hotel,0.58,0.2,0.22
A Traveler/$/$/Hilton Garden Inn Kauai Wailua Bay,0.66,0.33,0.01
