utente/$/$/hotel,somma
Russ (kent)/$/$/Hotel Russo Palace,0.43
A Traveler/$/$/Hotel Russo Palace,1.1
A Traveler/$/$/Hawthorn Suites By Wyndham Livermore Wine Country,1.03
A Traveler/$/$/Fairfield Inn By Marriott Binghamton,0.94
A Traveler/$/$/Days Inn El Reno Ok,0.41
A Traveler/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,1.08
A Traveler/$/$/The Houstonian Hotel,1.1
A Traveler/$/$/Best Western Plus Waterville Grand Hotel,1.01
A Traveler/$/$/Howard Johnson Inn Columbia,0.72
A Traveler/$/$/Super 8 Columbia Dwntwn Sc,0.45
A Traveler/$/$/Azul Beach Hotel By Karisma Gourmet Inclusive,1.01
A Traveler/$/$/Days Inn Branson / Near The Strip,0.91
A Traveler/$/$/Comfort Suites Southport,1.0
A Traveler/$/$/Ambassadors Inn and Suites,0.57
A Traveler/$/$/Tryp Dusseldorf Krefeld Hotel,1.06
A Traveler/$/$/Gran Melia Victoria,1.07
A Traveler/$/$/Economy Inn,0.45
A Traveler/$/$/Country Inn Walker,1.18
A Traveler/$/$/Hotel De La Ville,1.06
A Traveler/$/$/Econo Lodge St Robert,0.64
A Traveler/$/$/Super 8 Ithaca,0.69
A Traveler/$/$/Big Mountain Lodge,0.97
A Traveler/$/$/Doubletree By Hilton Hotel Bay City - Riverfront,1.24
A Traveler/$/$/Doubletree By Hilton West Palm Beach Airport,1.17
A Traveler/$/$/Extended Stay America - Chicago - Westmont - Oak Brook,0.53
A Traveler/$/$/Days Inn Brookings,0.64
A Traveler/$/$/Durango Travelodge,0.61
A Traveler/$/$/Best Western Plus Arlington North Hotel and Suites,1.04
A Traveler/$/$/La Quinta Inn and Suites Tucson - Reid Park,0.86
A Traveler/$/$/Country Inn and Suites By Carlson Corbin,1.01
A Traveler/$/$/Quality Inn Spearfish,1.0
A Traveler/$/$/Inn At Queen Anne,0.59
A Traveler/$/$/Residence Inn By Marriott Irvine John Wayne Airport,1.15
A Traveler/$/$/Comfort Inn and Suites O'fallon,0.79
A Traveler/$/$/Holiday Inn Canyon De Chelly,0.97
A Traveler/$/$/Haltom Inn,0.41
A Traveler/$/$/La Quinta Inn and Suites Sunrise,1.05
A Traveler/$/$/Knights Inn Aiken,0.5
A Traveler/$/$/Ramada,0.89
A Traveler/$/$/Super 8 Pittsburgh/monroeville,0.62
A Traveler/$/$/Holiday Inn Express and Suites Canyonville,0.93
A Traveler/$/$/Solstice,0.53
A Traveler/$/$/The Grove Seaside Hotel,0.97
A Traveler/$/$/Hilton Garden Inn Kauai Wailua Bay,1.07
A Traveler/$/$/Holiday Inn Express Hotel and Suites Memphis Southwind,0.94
A Traveler/$/$/Mountain Lodge At Telluride - A Noble House Resort,1.2
A Traveler/$/$/Hampton Inn New Orleans - Downtown,1.13
A Traveler/$/$/Baymont Inn and Suites Enid,0.9
A Traveler/$/$/Comfort Inn,1.06
A Traveler/$/$/Quality Inn & Suites,0.53
A Traveler/$/$/Americinn Coralville,0.6
A Traveler/$/$/Hampton Inn Fayetteville Fort Bragg,1.09
A Traveler/$/$/Days Inn & Suites Castle Rock,0.48
A Traveler/$/$/Extended Stay America - Orlando Theme Parks - Vineland Rd.,0.55
A Traveler/$/$/Fiesta Inn Centro Historico,1.08
A Traveler/$/$/Mandarin Oriental Jakarta,1.18
A Traveler/$/$/Ramada Vandalia,1.03
A Traveler/$/$/Super 8 Elko Nv,0.62
A Traveler/$/$/Hotel Borgo Verde,1.1
A Traveler/$/$/Vista Hotel On Lake Tarpon,0.88
A Traveler/$/$/Miramar Boutique Hotel,1.15
A Traveler/$/$/Best Western Plus French Quarter Landmark Hotel,1.16
A Traveler/$/$/Red Carpet Inn,0.64
A Traveler/$/$/Quality Inn and Suites,0.51
A Traveler/$/$/Super 8 Manhattan Ks,0.7
A Traveler/$/$/Wine Valley Lodge,0.95
A Traveler/$/$/Hilton Garden Inn Austin Nw - Arboretum,1.02
A Traveler/$/$/American Star Inn and Suites Atlantic City,0.52
A Traveler/$/$/Hotel Relais De Margaux Golf and Spa,1.05
A Traveler/$/$/Hyatt Place San Antonio Airport - Quarry Market,0.67
A Traveler/$/$/Discovery Inn,0.52
A Traveler/$/$/Comfort Inn Livermore,0.98
A Traveler/$/$/Tulip Inn Turin West,1.07
A Traveler/$/$/Hotel Portaventura,1.03
A Traveler/$/$/Candlewood Suites Huntersville,1.04
