utente/$/$/hotel,b

Russ (kent)/$/$/Hotel Russo Palace,0.0

A Traveler/$/$/Hotel Russo Palace,0.46

A Traveler/$/$/Hawthorn Suites By Wyndham Livermore Wine Country,0.44

A Traveler/$/$/Fairfield Inn By Marriott Binghamton,0.47

A Traveler/$/$/Days Inn El Reno Ok,0.12

A Traveler/$/$/Hotel Vier Jahreszeiten KÜhlungsborn,0.47

A Traveler/$/$/The Houstonian Hotel,0.53

A Traveler/$/$/Best Western Plus Waterville Grand Hotel,0.41

A Traveler/$/$/Howard Johnson Inn Columbia,0.36

A Traveler/$/$/Super 8 Columbia Dwntwn Sc,0.25

A Traveler/$/$/Azul Beach Hotel By Karisma Gourmet Inclusive,0.52

A Traveler/$/$/Days Inn Branson / Near The Strip,0.43

A Traveler/$/$/Comfort Suites Southport,0.45

A Traveler/$/$/Ambassadors Inn and Suites,0.28

A Traveler/$/$/Tryp Dusseldorf Krefeld Hotel,0.47

A Traveler/$/$/Gran Melia Victoria,0.52

A Traveler/$/$/Economy Inn,0.25

A Traveler/$/$/Country Inn Walker,0.51

A Traveler/$/$/Hotel De La Ville,0.53

A Traveler/$/$/Econo Lodge St Robert,0.33

A Traveler/$/$/Super 8 Ithaca,0.33

A Traveler/$/$/Big Mountain Lodge,0.46

A Traveler/$/$/Doubletree By Hilton Hotel Bay City - Riverfront,0.5

A Traveler/$/$/Doubletree By Hilton West Palm Beach Airport,0.46

A Traveler/$/$/Extended Stay America - Chicago - Westmont - Oak Brook,0.23

A Traveler/$/$/Days Inn Brookings,0.32

A Traveler/$/$/Durango Travelodge,0.3

A Traveler/$/$/Best Western Plus Arlington North Hotel and Suites,0.49

A Traveler/$/$/La Quinta Inn and Suites Tucson - Reid Park,0.44

A Traveler/$/$/Country Inn and Suites By Carlson Corbin,0.45

A Traveler/$/$/Quality Inn Spearfish,0.48

A Traveler/$/$/Inn At Queen Anne,0.26

A Traveler/$/$/Residence Inn By Marriott Irvine John Wayne Airport,0.49

A Traveler/$/$/Comfort Inn and Suites O'fallon,0.4

A Traveler/$/$/Holiday Inn Canyon De Chelly,0.46

A Traveler/$/$/Haltom Inn,0.19

A Traveler/$/$/La Quinta Inn and Suites Sunrise,0.41

A Traveler/$/$/Knights Inn Aiken,0.27

A Traveler/$/$/Ramada,0.43

A Traveler/$/$/Super 8 Pittsburgh/monroeville,0.31

A Traveler/$/$/Holiday Inn Express and Suites Canyonville,0.48

A Traveler/$/$/Solstice,0.23

A Traveler/$/$/The Grove Seaside Hotel,0.51

A Traveler/$/$/Hilton Garden Inn Kauai Wailua Bay,0.46

A Traveler/$/$/Holiday Inn Express Hotel and Suites Memphis Southwind,0.44

A Traveler/$/$/Mountain Lodge At Telluride - A Noble House Resort,0.49

A Traveler/$/$/Hampton Inn New Orleans - Downtown,0.53

A Traveler/$/$/Baymont Inn and Suites Enid,0.46

A Traveler/$/$/Comfort Inn,0.45

A Traveler/$/$/Quality Inn & Suites,0.18

A Traveler/$/$/Americinn Coralville,0.23

A Traveler/$/$/Hampton Inn Fayetteville Fort Bragg,0.46

A Traveler/$/$/Days Inn & Suites Castle Rock,0.19

A Traveler/$/$/Extended Stay America - Orlando Theme Parks - Vineland Rd.,0.19

A Traveler/$/$/Fiesta Inn Centro Historico,0.5

A Traveler/$/$/Mandarin Oriental Jakarta,0.53

A Traveler/$/$/Ramada Vandalia,0.41

A Traveler/$/$/Super 8 Elko Nv,0.29

A Traveler/$/$/Hotel Borgo Verde,0.49

A Traveler/$/$/Vista Hotel On Lake Tarpon,0.41

A Traveler/$/$/Miramar Boutique Hotel,0.51

A Traveler/$/$/Best Western Plus French Quarter Landmark Hotel,0.47

A Traveler/$/$/Red Carpet Inn,0.37

A Traveler/$/$/Quality Inn and Suites,0.18

A Traveler/$/$/Super 8 Manhattan Ks,0.35

A Traveler/$/$/Wine Valley Lodge,0.45

A Traveler/$/$/Hilton Garden Inn Austin Nw - Arboretum,0.47

A Traveler/$/$/American Star Inn and Suites Atlantic City,0.25

A Traveler/$/$/Hotel Relais De Margaux Golf and Spa,0.47

A Traveler/$/$/Hyatt Place San Antonio Airport - Quarry Market,0.27

A Traveler/$/$/Discovery Inn,0.25

A Traveler/$/$/Comfort Inn Livermore,0.43

A Traveler/$/$/Tulip Inn Turin West,0.5

A Traveler/$/$/Hotel Portaventura,0.44

A Traveler/$/$/Candlewood Suites Huntersville,0.47

A Traveler/$/$/Super 8 Longmont / Del Camino,0.24

A Traveler/$/$/Americas Best Value Inn,0.18

A Traveler/$/$/Holiday Inn Express Dahlonega,0.46

A Traveler/$/$/Warwick Denver,0.28

A Traveler/$/$/Holiday Inn Express Hotel and Stes Port Clinton-catawba Island,0.41

A Traveler/$/$/Days Inn Bangor Airport,0.43

A Traveler/$/$/Fh Hotel Villa Fiesole,0.5

A Traveler/$/$/Hyatt Place Utica,0.51

A Traveler/$/$/Hotel Roc Lago Rojo,0.43

A Traveler/$/$/Amisos Hotel,0.46

A Traveler/$/$/The Kinney - Venice Beach,0.48

A Traveler/$/$/Plaza Hotel and Casino - Las Vegas,0.25

A Traveler/$/$/Quality Inn Johnson City,0.43

A Traveler/$/$/Super 8 Dallas South,0.23

A Traveler/$/$/Baymont Inn & Suites Griffin,0.47

A Traveler/$/$/Holiday Inn Express - Harrisburg East,0.14

A Traveler/$/$/Dallas/fort Worth Marriott Solana,0.51

A Traveler/$/$/Super 8 Kingston,0.41

A Traveler/$/$/Super 8 Worthington Minnesota,0.28

A Traveler/$/$/Quality Inn Near Six Flags,0.43

A Traveler/$/$/Days Inn Ruther Glen Kings Dominion Area,0.28

A Traveler/$/$/Pueblo Bonito Sunset Beach Resort & Spa - All Inclusive,0.46

A Traveler/$/$/Red Roof Inn St Louis - Troy,0.45

A Traveler/$/$/Hampton Inn Abilene,0.48

A Traveler/$/$/Country Inn and Suites By Carlson,0.32

A Traveler/$/$/Tidewater Inn,0.15

A Traveler/$/$/Villa Carlotta,0.57

A Traveler/$/$/Extended Stay America - Fort Lauderdale - Davie,0.24

A Traveler/$/$/Jacksonville Plaza Hotel and Suites,0.11

A Traveler/$/$/Hawthorn Suites Dayton North,0.29

A Traveler/$/$/Suburban Extended Stay of Memphis Bartlett,0.23

A Traveler/$/$/Homewood Suites - Mall of America,0.49

A Traveler/$/$/Extended Stay America - Rockford - I-90,0.32

A Traveler/$/$/Red Rest Inn,0.37

A Traveler/$/$/Hotel Silken Siete Coronas,0.5

A Traveler/$/$/Cherry Orchard Inn,0.2

A Traveler/$/$/Hotel Vorbach,0.47

A Traveler/$/$/Lakeway Resort & Spa,0.5

A Traveler/$/$/Knights Inn Amarillo Airport,0.26

A Traveler/$/$/La Quinta Inn and Suites Nashville Franklin,0.17

A Traveler/$/$/Chelsea Inn,0.44

A Traveler/$/$/Comfort Inn - Springfield,0.44

A Traveler/$/$/Sombrero Resort and Marina,0.19

A Traveler/$/$/Days Inn West Memphis,0.28

A Traveler/$/$/Quality Inn,0.16

A Traveler/$/$/Sheraton Offenbach Hotel,0.45
